ref,commission_percent,station_distance,rent,pub_date,pub_time,studio,n_rooms,area,floor,n_floors,n_days,mcc,circle,center_distance,parsing_date,y
/moskva/kvartiry/2-k_kvartira_45_m_35_et._1835442292,50,4,40.0,2020-07-31,,0,2,45,3,5,10,0,0,7.37912726359075,2020-08-04,0.8888888888888888
/moskva/kvartiry/2-k_kvartira_45_m_29_et._1931863735,100,3,35.0,2020-07-30,,0,2,45,2,9,6,0,0,16.167248744604045,2020-08-04,0.7777777777777778
/moskva/kvartiry/1-k_kvartira_43_m_815_et._789285057,50,6,42.0,2020-08-02,,0,1,43,8,15,3,0,0,4.209940184044391,2020-08-04,0.9767441860465116
/moskva/kvartiry/3-k_kvartira_105_m_915_et._1980820361,0,6,95.0,2020-08-01,,0,3,105,9,15,6,0,0,9.716113089086091,2020-08-04,0.9047619047619048
/moskva/kvartiry/3-k_kvartira_80_m_2023_et._1365786663,,24,80.0,2020-08-03,,0,3,80,20,23,7,1,0,7.3223283805187585,2020-08-04,1.0
/moskva/kvartiry/2-k_kvartira_44.7_m_15_et._1862443743,50,7,40.4,2020-08-01,,0,2,45,1,5,4,0,0,12.37597295337994,2020-08-04,0.8977777777777778
/moskva/kvartiry/2-k_kvartira_53.6_m_29_et._1951771441,100,9,30.0,2020-07-28,,0,2,54,2,9,8,0,0,24.387314519709967,2020-08-04,0.5555555555555556
/moskva/kvartiry/2-k_kvartira_46_m_712_et._1974100840,50,1,35.0,2020-07-29,,0,2,46,7,12,7,0,0,12.833674364295671,2020-08-04,0.7608695652173914
/moskva/kvartiry/2-k_kvartira_47_m_1212_et._1981205687,,12,35.0,2020-07-30,,0,2,47,12,12,7,0,0,10.783910412519429,2020-08-04,0.7446808510638298
/moskva/kvartiry/2-k_kvartira_56_m_912_et._1839550536,40,12,60.0,2020-07-30,,0,2,56,9,12,7,0,0,15.19765150338257,2020-08-04,1.0714285714285714
/moskva/kvartiry/1-k_kvartira_35_m_1012_et._1924389192,35,17,30.0,2020-07-30,,0,1,35,10,12,6,0,0,9.539817802472047,2020-08-04,0.8571428571428571
/moskva/kvartiry/1-k_kvartira_40_m_1112_et._1955943825,30,5,58.0,2020-07-31,,0,1,40,11,12,5,0,0,4.271853909460736,2020-08-04,1.45
/moskva/kvartiry/1-k_kvartira_35.1_m_812_et._1886328305,,8,32.0,2020-07-28,,0,1,35,8,12,8,0,0,8.853363046289289,2020-08-04,0.9142857142857143
/moskva/kvartiry/2-k_kvartira_57_m_1414_et._1801583867,,8,80.0,2020-07-31,,0,2,57,14,14,5,0,0,5.1098852741901215,2020-08-04,1.4035087719298245
/moskva/kvartiry/1-k_kvartira_45_m_1324_et._1950989664,,11,42.0,2020-07-31,,0,1,45,13,24,6,1,0,7.377513511565585,2020-08-04,0.9333333333333333
/moskva/kvartiry/2-k_kvartira_43_m_19_et._1834646358,,9,45.0,2020-07-30,,0,2,43,1,9,,0,0,22.579784132396757,2020-08-04,1.0465116279069768
/moskva/kvartiry/2-k_kvartira_55_m_818_et._1959470953,0,8,60.0,2020-07-28,,0,2,55,8,18,9,0,0,13.35746983723144,2020-08-04,1.0909090909090908
/moskva/kvartiry/2-k_kvartira_53_m_816_et._1457679917,,22,50.0,2020-08-01,,0,2,53,8,16,11,0,0,12.844090430537948,2020-08-04,0.9433962264150944
/moskva/kvartiry/3-k_kvartira_60_m_15_et._1962180572,50,8,45.0,2020-08-01,,0,3,60,1,5,,0,0,13.58360839238828,2020-08-04,0.75
/moskva/kvartiry/2-k_kvartira_83_m_317_et._1973735004,30,4,80.0,2020-07-31,,0,2,83,3,17,8,0,0,10.738613232563797,2020-08-04,0.963855421686747
/moskva/kvartiry/2-k_kvartira_45_m_1314_et._1981861726,,10,60.0,2020-08-02,,0,2,45,13,14,3,0,0,11.337152423327126,2020-08-04,1.3333333333333333
/moskva/kvartiry/3-k_kvartira_82_m_58_et._1641971754,0,11,80.0,2020-07-29,,0,3,82,5,8,7,0,0,5.84175515670864,2020-08-04,0.975609756097561
/moskva/kvartiry/1-k_kvartira_40_m_617_et._1972151209,,3,37.0,2020-07-28,,0,1,40,6,17,9,0,0,14.293167708857114,2020-08-04,0.925
/moskva/kvartiry/2-k_kvartira_64_m_1322_et._1937500600,40,14,55.0,2020-07-29,,0,2,64,13,22,7,0,0,12.075557576493836,2020-08-04,0.859375
/moskva/kvartiry/3-k_kvartira_75_m_314_et._1961853064,50,13,45.0,2020-07-30,,0,3,75,3,14,6,1,0,7.521105741319113,2020-08-04,0.6
/moskva/kvartiry/2-k_kvartira_56_m_312_et._1974320252,50,8,27.0,2020-07-28,,0,2,56,3,12,8,0,0,17.235261090401206,2020-08-04,0.48214285714285715
/moskva/kvartiry/1-k_kvartira_40_m_616_et._1916599955,30,8,60.0,2020-07-31,,0,1,40,6,16,5,0,0,4.041818546236015,2020-08-04,1.5
/moskva/kvartiry/1-k_kvartira_40_m_44_et._1981384727,50,12,60.0,2020-07-31,,0,1,40,4,4,7,0,0,4.057918430854774,2020-08-04,1.5
/moskva/kvartiry/1-k_kvartira_33_m_19_et._1870228772,50,16,30.0,2020-08-02,,0,1,33,1,9,4,0,0,42.08652548896108,2020-08-04,0.9090909090909091
/moskva/kvartiry/1-k_kvartira_37_m_1011_et._1980268431,,10,38.0,2020-07-28,,0,1,37,10,11,8,0,0,13.35746983723144,2020-08-04,1.027027027027027
/moskva/kvartiry/studiya_24_m_1015_et._1889366068,,5,37.74,2020-07-29,,1,1,24,10,15,7,1,0,6.696123446897969,2020-08-04,1.5725
/moskva/kvartiry/1-k_kvartira_42_m_517_et._1980067340,80,21,25.0,2020-07-30,,0,1,42,5,17,6,0,0,20.28006401482817,2020-08-04,0.5952380952380952
/moskva/kvartiry/2-k_kvartira_65_m_317_et._1960390290,50,11,55.0,2020-08-01,,0,2,65,3,17,4,0,0,11.623910675456328,2020-08-04,0.8461538461538461
/moskva/kvartiry/2-k_kvartira_40_m_412_et._1957529926,,7,39.0,2020-07-28,,0,2,40,4,12,8,0,0,12.37597295337994,2020-08-04,0.975
/moskva/kvartiry/2-k_kvartira_100_m_1024_et._1948873260,0,1,63.0,2020-08-02,,0,2,100,10,24,3,0,0,11.695518580447414,2020-08-04,0.63
/moskva/kvartiry/3-k_kvartira_80_m_829_et._1955597195,60,8,150.0,2020-07-30,,0,3,80,8,29,6,0,0,8.197599186388118,2020-08-04,1.875
/moskva/kvartiry/2-k_kvartira_45.4_m_29_et._1954660840,,8,49.0,2020-07-30,,0,2,45,2,9,7,0,0,10.280529714740107,2020-08-04,1.0888888888888888
/moskva/kvartiry/3-k_kvartira_110_m_923_et._1905836147,0,6,150.0,2020-08-01,,0,3,110,9,23,4,0,0,8.472844364103706,2020-08-04,1.3636363636363635
/moskva/kvartiry/2-k_kvartira_100_m_39_et._1934210853,0,4,140.0,2020-07-31,,0,2,100,3,9,5,0,0,1.7610692492100228,2020-08-04,1.4
/moskva/kvartiry/2-k_kvartira_41_m_34_et._1870095056,,7,40.0,2020-07-28,,0,2,41,3,4,13,1,0,6.696123446897969,2020-08-04,0.975609756097561
/moskva/kvartiry/studiya_32_m_1012_et._1898915586,50,1,29.99,2020-07-28,,1,1,32,10,12,8,0,0,5.2948330550598985,2020-08-04,0.9371875
/moskva/kvartiry/1-k_kvartira_38_m_1616_et._1966204735,50,7,43.0,2020-07-31,,0,1,38,16,16,5,0,0,3.1260312587717536,2020-08-04,1.131578947368421
/moskva/kvartiry/1-k_kvartira_35_m_45_et._1915398971,,8,27.0,2020-08-02,,0,1,35,4,5,3,1,0,11.149641237333775,2020-08-04,0.7714285714285715
/moskva/kvartiry/studiya_22_m_219_et._1857417998,,14,30.09,2020-07-29,,1,1,22,2,19,7,0,0,17.396838684991508,2020-08-04,1.3677272727272727
/moskva/kvartiry/2-k_kvartira_40_m_917_et._1953862185,,9,35.0,2020-07-28,,0,2,40,9,17,10,0,0,23.49489277665689,2020-08-04,0.875
/moskva/kvartiry/3-k_kvartira_90_m_27_et._1949628882,,5,150.0,2020-07-30,,0,3,90,2,7,7,0,1,2.5891369923902463,2020-08-04,1.6666666666666667
/moskva/kvartiry/1-k_kvartira_39.5_m_1322_et._1973778192,50,9,27.0,2020-07-28,,0,1,40,13,22,9,0,0,17.492094911507404,2020-08-04,0.675
/moskva/kvartiry/1-k_kvartira_43_m_812_et._1894691400,30,2,50.0,2020-07-31,,0,1,43,8,12,5,0,0,13.104947130339838,2020-08-04,1.1627906976744187
/moskva/kvartiry/3-k_kvartira_125_m_1015_et._1981206388,,12,100.0,2020-08-04,20:58:31.668661,0,3,125,10,15,3,0,0,13.890305901113779,2020-08-04,0.8
/moskva/kvartiry/2-k_kvartira_50_m_317_et._1961034251,,6,40.0,2020-08-02,,0,2,50,3,17,3,0,0,19.834721014152784,2020-08-04,0.8
/moskva/kvartiry/2-k_kvartira_54_m_817_et._1967243338,25,5,43.0,2020-08-01,,0,2,54,8,17,6,0,0,15.853748484776562,2020-08-04,0.7962962962962963
/moskva/kvartiry/3-k_kvartira_72_m_614_et._1784635121,50,6,49.0,2020-07-28,,0,3,72,6,14,13,0,0,12.86651739103494,2020-08-04,0.6805555555555556
/moskva/kvartiry/3-k_kvartira_106_m_1827_et._1926189617,0,3,90.0,2020-07-29,,0,3,106,18,27,7,0,0,13.35746983723144,2020-08-04,0.8490566037735849
/moskva/kvartiry/3-k_kvartira_161_m_46_et._1959273589,0,4,350.0,2020-07-31,,0,3,161,4,6,5,0,1,2.9704877667873966,2020-08-04,2.1739130434782608
/moskva/kvartiry/3-k_kvartira_55_m_69_et._1625848704,,7,43.0,2020-07-30,,0,3,55,6,9,,0,0,13.279670805067859,2020-08-04,0.7818181818181819
/moskva/kvartiry/2-k_kvartira_35_m_15_et._1874434936,,5,35.0,2020-07-28,,0,2,35,1,5,9,0,0,10.738613232563797,2020-08-04,1.0
/moskva/kvartiry/2-k_kvartira_40_m_612_et._1952046137,,7,55.0,2020-07-31,,0,2,40,6,12,11,0,0,15.037649645206713,2020-08-04,1.375
/moskva/kvartiry/2-k_kvartira_60_m_68_et._1538515081,0,1,90.0,2020-08-02,,0,2,60,6,8,3,0,0,1.3614631601750649,2020-08-04,1.5
/moskva/kvartiry/2-k_kvartira_47_m_1012_et._1864244709,,11,34.0,2020-07-28,,0,2,47,10,12,8,0,0,16.91850951108148,2020-08-04,0.723404255319149
/moskva/kvartiry/2-k_kvartira_51_m_412_et._583133963,,17,38.0,2020-08-01,,0,2,51,4,12,13,0,0,16.5081390984448,2020-08-04,0.7450980392156863
/moskva/kvartiry/1-k_kvartira_34_m_39_et._1957614042,40,26,29.0,2020-08-02,,0,1,34,3,9,3,0,0,12.833674364295671,2020-08-04,0.8529411764705882
/moskva/kvartiry/1-k_kvartira_40_m_914_et._1971243804,,6,40.0,2020-07-30,,0,1,40,9,14,6,0,0,3.301229624520555,2020-08-04,1.0
/moskva/kvartiry/2-k_kvartira_60_m_1518_et._1784517702,,8,50.0,2020-07-28,,0,2,60,15,18,8,0,0,12.785580057042635,2020-08-04,0.8333333333333334
/moskva/kvartiry/1-k_kvartira_38_m_35_et._1962403994,100,5,37.0,2020-07-28,,0,1,38,3,5,9,0,0,8.472844364103706,2020-08-04,0.9736842105263158
/moskva/kvartiry/1-k_kvartira_20_m_1416_et._1969814816,50,28,30.0,2020-07-31,,0,1,20,14,16,5,0,0,13.104947130339838,2020-08-04,1.5
/moskva/kvartiry/2-k_kvartira_48_m_36_et._1924204230,70,14,35.0,2020-07-31,,0,2,48,3,6,5,0,0,12.833674364295671,2020-08-04,0.7291666666666666
/moskva/kvartiry/1-k_kvartira_40_m_2022_et._1943746917,,16,39.0,2020-07-29,,0,1,40,20,22,14,0,0,11.337152423327126,2020-08-04,0.975
/moskva/kvartiry/2-k_kvartira_78_m_1012_et._1722340724,50,7,50.0,2020-07-31,,0,2,78,10,12,5,0,0,12.833674364295671,2020-08-04,0.6410256410256411
/moskva/kvartiry/3-k_kvartira_76_m_817_et._1975271949,,1,50.0,2020-07-29,,0,3,76,8,17,15,0,0,17.617338749546683,2020-08-04,0.6578947368421053
/moskva/kvartiry/3-k_kvartira_70_m_1025_et._650167113,,13,70.0,2020-08-04,11:58:31.668661,0,3,70,10,25,8,0,0,21.08980239840081,2020-08-04,1.0
/moskva/kvartiry/1-k_kvartira_40_m_517_et._1970973420,,3,36.0,2020-08-02,,0,1,40,5,17,4,0,0,12.089482000516536,2020-08-04,0.9
/moskva/kvartiry/2-k_kvartira_46_m_15_et._1961883644,,9,58.0,2020-07-28,,0,2,46,1,5,10,0,0,11.337152423327126,2020-08-04,1.2608695652173914
/moskva/kvartiry/1-k_kvartira_38_m_35_et._951390682,,21,30.0,2020-08-03,,0,1,38,3,5,2,0,0,11.192041397390943,2020-08-04,0.7894736842105263
/moskva/kvartiry/1-k_kvartira_36_m_316_et._1953652772,,9,35.0,2020-08-01,,0,1,36,3,16,4,0,0,13.35746983723144,2020-08-04,0.9722222222222222
/moskva/kvartiry/1-k_kvartira_40_m_414_et._1905766564,50,4,29.0,2020-07-31,,0,1,40,4,14,10,0,0,14.293167708857114,2020-08-04,0.725
/moskva/kvartiry/1-k_kvartira_40_m_1014_et._1958297730,,2,28.0,2020-07-28,,0,1,40,10,14,9,0,0,15.037649645206713,2020-08-04,0.7
/moskva/kvartiry/1-k_kvartira_38_m_216_et._1921585835,50,9,35.0,2020-07-31,,0,1,38,2,16,5,1,0,6.2206611786157175,2020-08-04,0.9210526315789473
/moskva/kvartiry/3-k_kvartira_70_m_1116_et._1771545238,50,9,50.0,2020-07-31,,0,3,70,11,16,5,0,0,42.08652548896108,2020-08-04,0.7142857142857143
/moskva/kvartiry/2-k_kvartira_50_m_212_et._1291059323,,10,45.0,2020-07-30,,0,2,50,2,12,7,0,0,8.168661268245879,2020-08-04,0.9
/moskva/kvartiry/3-k_kvartira_90_m_55_et._1926096077,0,10,85.0,2020-07-29,,0,3,90,5,5,9,0,0,3.585903480779788,2020-08-04,0.9444444444444444
/moskva/kvartiry/3-k_kvartira_68_m_19_et._1571889640,30,11,43.0,2020-07-29,,0,3,68,1,9,7,0,0,13.72134321956592,2020-08-04,0.6323529411764706
/moskva/kvartiry/3-k_kvartira_80_m_1014_et._570961848,,4,79.0,2020-07-30,,0,3,80,10,14,6,0,0,7.694158519358147,2020-08-04,0.9875
/moskva/kvartiry/2-k_kvartira_44_m_712_et._1896550269,80,6,45.0,2020-07-28,,0,2,44,7,12,14,0,0,7.240311699791832,2020-08-04,1.0227272727272727
/moskva/kvartiry/2-k_kvartira_48_m_78_et._1975404627,,12,35.0,2020-07-30,,0,2,48,7,8,8,1,0,10.131813490251698,2020-08-04,0.7291666666666666
/moskva/kvartiry/1-k_kvartira_35_m_617_et._1973737821,,20,55.0,2020-07-29,,0,1,35,6,17,15,0,0,42.08652548896108,2020-08-04,1.5714285714285714
/moskva/kvartiry/3-k_kvartira_90_m_610_et._1188670706,0,6,90.0,2020-07-31,,0,3,90,6,10,9,0,0,3.9429748736368015,2020-08-04,1.0
/moskva/kvartiry/3-k_kvartira_150_m_417_et._1951481271,0,10,200.0,2020-08-01,,0,3,150,4,17,6,0,0,8.197599186388118,2020-08-04,1.3333333333333333
/moskva/kvartiry/3-k_kvartira_75_m_417_et._1977372819,,5,65.0,2020-08-03,,0,3,75,4,17,7,0,0,17.18525020532792,2020-08-04,0.8666666666666667
/moskva/kvartiry/1-k_kvartira_35_m_89_et._1852498042,,15,37.0,2020-07-28,,0,1,35,8,9,8,0,0,15.037649645206713,2020-08-04,1.0571428571428572
/moskva/kvartiry/2-k_kvartira_45_m_69_et._1888902624,,8,45.0,2020-07-29,,0,2,45,6,9,7,0,0,15.19765150338257,2020-08-04,1.0
/moskva/kvartiry/1-k_kvartira_39_m_617_et._1857081269,50,2,31.0,2020-07-28,,0,1,39,6,17,14,0,0,23.933374800007574,2020-08-04,0.7948717948717948
/moskva/kvartiry/studiya_18_m_15_et._1857035456,,2,30.98,2020-07-29,,1,1,18,1,5,13,0,0,8.168661268245879,2020-08-04,1.721111111111111
/moskva/kvartiry/1-k_kvartira_33_m_15_et._1956505272,50,6,31.0,2020-07-28,,0,1,33,1,5,10,0,0,10.477097307352325,2020-08-04,0.9393939393939394
/moskva/kvartiry/3-k_kvartira_106_m_29_et._1954155334,0,3,100.0,2020-07-28,,0,3,106,2,9,8,0,0,4.234874416287521,2020-08-04,0.9433962264150944
/moskva/kvartiry/studiya_24_m_239_et._1961832135,,10,35.0,2020-07-30,,1,1,24,2,39,7,0,0,9.539817802472047,2020-08-04,1.4583333333333333
/moskva/kvartiry/2-k_kvartira_45_m_2626_et._1967351743,50,5,70.0,2020-07-29,,0,2,45,26,26,7,0,0,12.33177916408014,2020-08-04,1.5555555555555556
/moskva/kvartiry/studiya_24_m_1215_et._1921528031,,5,40.16,2020-07-29,,1,1,24,12,15,7,1,0,6.696123446897969,2020-08-04,1.6733333333333331
/moskva/kvartiry/4-k_kvartira_140_m_412_et._1912093383,0,5,240.0,2020-08-01,,0,4,140,4,12,4,0,1,2.8295905024514463,2020-08-04,1.7142857142857142
/moskva/kvartiry/2-k_kvartira_84_m_35_et._1889995041,,2,390.0,2020-08-01,,0,2,84,3,5,4,0,0,0.6572154168736299,2020-08-04,4.642857142857143
/moskva/kvartiry/2-k_kvartira_54_m_14_et._1583685470,,21,45.0,2020-08-01,,0,2,54,1,4,8,0,0,16.5081390984448,2020-08-04,0.8333333333333334
/moskva/kvartiry/2-k_kvartira_40_m_89_et._1867160173,50,3,42.0,2020-07-31,,0,2,40,8,9,5,0,0,3.585903480779788,2020-08-04,1.05
/moskva/kvartiry/1-k_kvartira_38_m_722_et._1856365127,100,2,26.9,2020-07-29,,0,1,38,7,22,15,0,0,12.37597295337994,2020-08-04,0.7078947368421052
/moskva/kvartiry/3-k_kvartira_104_m_2038_et._1882728600,0,8,110.0,2020-07-29,,0,3,104,20,38,7,1,0,9.817814863464967,2020-08-04,1.0576923076923077
/moskva/kvartiry/2-k_kvartira_57_m_716_et._1328685021,50,15,34.0,2020-08-01,,0,2,57,7,16,4,0,0,16.167248744604045,2020-08-04,0.5964912280701754
/moskva/kvartiry/3-k_kvartira_61_m_1212_et._1952054094,50,4,50.0,2020-08-03,,0,3,61,12,12,5,0,0,12.089482000516536,2020-08-04,0.819672131147541
/moskva/kvartiry/studiya_24_m_217_et._1382476527,,4,24.0,2020-07-28,,1,1,24,2,17,14,0,0,20.28006401482817,2020-08-04,1.0
/moskva/kvartiry/2-k_kvartira_65_m_34_et._1965633629,50,22,26.5,2020-07-30,,0,2,65,3,4,7,0,0,12.833674364295671,2020-08-04,0.4076923076923077
/moskva/kvartiry/1-k_kvartira_45_m_1417_et._1469624175,50,19,30.0,2020-07-28,,0,1,45,14,17,8,0,0,15.656473583949358,2020-08-04,0.6666666666666666
/moskva/kvartiry/1-k_kvartira_38_m_712_et._1973397457,100,4,30.0,2020-07-28,,0,1,38,7,12,9,0,0,14.517695813647885,2020-08-04,0.7894736842105263
/moskva/kvartiry/1-k_kvartira_32_m_59_et._1928080144,,5,35.0,2020-08-01,,0,1,32,5,9,5,0,0,17.396838684991508,2020-08-04,1.09375
/moskva/kvartiry/3-k_kvartira_80_m_24_et._1948784762,50,2,59.8,2020-07-28,,0,3,80,2,4,8,0,0,10.413558090581624,2020-08-04,0.7474999999999999
/moskva/kvartiry/3-k_kvartira_90_m_44_et._1912199967,0,3,160.0,2020-08-01,,0,3,90,4,4,4,0,0,1.3407152675992835,2020-08-04,1.7777777777777777
/moskva/kvartiry/2-k_kvartira_45_m_112_et._1758240993,,10,53.0,2020-07-28,,0,2,45,1,12,10,0,0,6.8322428413998,2020-08-04,1.1777777777777778
/moskva/kvartiry/1-k_kvartira_38_m_1216_et._1952147137,50,18,30.0,2020-07-30,,0,1,38,12,16,6,0,0,22.579784132396757,2020-08-04,0.7894736842105263
/moskva/kvartiry/1-k_kvartira_16_m_15_et._1980391619,50,2,30.0,2020-07-29,,0,1,16,1,5,9,0,0,12.33177916408014,2020-08-04,1.875
/moskva/kvartiry/3-k_kvartira_60_m_35_et._1940530721,30,13,33.0,2020-08-01,,0,3,60,3,5,4,0,0,17.235261090401206,2020-08-04,0.55
/moskva/kvartiry/1-k_kvartira_19.9_m_1020_et._1862602422,65,12,31.1,2020-08-02,,0,1,20,10,20,3,0,0,17.396838684991508,2020-08-04,1.5550000000000002
/moskva/kvartiry/1-k_kvartira_34.9_m_312_et._1541624050,,9,30.0,2020-07-28,,0,1,35,3,12,15,0,0,5.431555141686898,2020-08-04,0.8571428571428571
/moskva/kvartiry/1-k_kvartira_36_m_117_et._1980690181,50,16,25.0,2020-07-29,,0,1,36,1,17,7,0,0,20.28006401482817,2020-08-04,0.6944444444444444
/moskva/kvartiry/1-k_kvartira_40_m_316_et._1979039170,100,3,34.0,2020-07-28,,0,1,40,3,16,9,0,0,7.37912726359075,2020-08-04,0.85
/moskva/kvartiry/2-k_kvartira_51.5_m_617_et._1979927960,,12,38.0,2020-07-28,,0,2,52,6,17,14,0,0,18.95519830381052,2020-08-04,0.7307692307692307
/moskva/kvartiry/1-k_kvartira_33_m_69_et._1803993684,,7,30.0,2020-07-28,,0,1,33,6,9,8,0,0,12.089482000516536,2020-08-04,0.9090909090909091
/moskva/kvartiry/3-k_kvartira_80_m_48_et._1949967227,,7,135.0,2020-08-03,,0,3,80,4,8,8,0,1,3.4395828872816336,2020-08-04,1.6875
/moskva/kvartiry/2-k_kvartira_56_m_1316_et._1883347968,60,9,37.0,2020-07-29,,0,2,56,13,16,7,0,0,15.815910794687333,2020-08-04,0.6607142857142857
/moskva/kvartiry/2-k_kvartira_47_m_59_et._1962524128,40,6,75.0,2020-07-28,,0,2,47,5,9,8,0,1,2.995982960291314,2020-08-04,1.5957446808510638
/moskva/kvartiry/studiya_20_m_1516_et._1857005163,,5,35.96,2020-07-29,,1,1,20,15,16,7,0,0,15.037649645206713,2020-08-04,1.798
/moskva/kvartiry/2-k_kvartira_65_m_917_et._1978820183,50,4,30.0,2020-07-28,,0,2,65,9,17,9,0,0,20.28006401482817,2020-08-04,0.46153846153846156
/moskva/kvartiry/1-k_kvartira_36_m_1212_et._1789202324,0,4,75.0,2020-08-01,,0,1,36,12,12,4,0,1,2.995982960291314,2020-08-04,2.0833333333333335
/moskva/kvartiry/2-k_kvartira_39_m_19_et._1956747697,35,7,29.9,2020-07-28,,0,2,39,1,9,9,0,0,4.083909171733213,2020-08-04,0.7666666666666666
/moskva/kvartiry/1-k_kvartira_40_m_912_et._982416079,70,16,27.0,2020-08-01,,0,1,40,9,12,4,0,0,13.58360839238828,2020-08-04,0.675
/moskva/kvartiry/1-k_kvartira_40_m_510_et._1095818647,50,14,45.0,2020-08-01,,0,1,40,5,10,,0,0,17.396838684991508,2020-08-04,1.125
/moskva/kvartiry/1-k_kvartira_40_m_1422_et._1966939576,30,2,33.0,2020-08-01,,0,1,40,14,22,4,0,0,16.91850951108148,2020-08-04,0.825
/moskva/kvartiry/2-k_kvartira_54_m_417_et._1970147934,100,11,40.0,2020-07-28,,0,2,54,4,17,13,0,0,13.558779945548173,2020-08-04,0.7407407407407407
/moskva/kvartiry/2-k_kvartira_44_m_39_et._1981554587,50,19,30.0,2020-07-28,,0,2,44,3,9,12,0,0,14.293167708857114,2020-08-04,0.6818181818181818
/moskva/kvartiry/1-k_kvartira_41_m_414_et._1954641339,60,1,40.0,2020-07-29,,0,1,41,4,14,7,1,0,6.121332330686394,2020-08-04,0.975609756097561
/moskva/kvartiry/1-k_kvartira_37_m_1717_et._1967591103,,11,34.0,2020-07-29,,0,1,37,17,17,13,0,0,12.785580057042635,2020-08-04,0.918918918918919
/moskva/kvartiry/1-k_kvartira_40_m_1517_et._761686635,50,2,35.0,2020-07-31,,0,1,40,15,17,5,0,0,19.834721014152784,2020-08-04,0.875
/moskva/kvartiry/3-k_kvartira_59_m_69_et._1969476449,50,5,40.0,2020-07-28,,0,3,59,6,9,8,0,0,17.617338749546683,2020-08-04,0.6779661016949152
/moskva/kvartiry/2-k_kvartira_57_m_55_et._1926451039,50,9,42.4,2020-07-30,,0,2,57,5,5,6,0,0,14.2673040798135,2020-08-04,0.743859649122807
/moskva/kvartiry/1-k_kvartira_40_m_59_et._1972900757,,15,40.0,2020-07-31,,0,1,40,5,9,5,0,0,13.58360839238828,2020-08-04,1.0
/moskva/kvartiry/2-k_kvartira_47_m_45_et._1953572545,,10,40.0,2020-07-31,,0,2,47,4,5,5,1,0,8.167439322613241,2020-08-04,0.851063829787234
/moskva/kvartiry/3-k_kvartira_110_m_422_et._820064757,,5,170.0,2020-08-04,13:59:33.240173,0,3,110,4,22,,1,0,5.806246700885527,2020-08-04,1.5454545454545454
/moskva/kvartiry/3-k_kvartira_77_m_317_et._1910925744,,3,69.0,2020-07-31,,0,3,77,3,17,5,0,0,16.591847168959653,2020-08-04,0.8961038961038961
/moskva/kvartiry/4-k_kvartira_101_m_25_et._1970261980,,3,100.0,2020-08-04,08:00:24.683127,0,4,101,2,5,6,0,0,2.04826394173432,2020-08-04,0.9900990099009901
/moskva/kvartiry/2-k_kvartira_43_m_55_et._1889504309,,15,35.0,2020-07-28,,0,2,43,5,5,10,1,0,9.752617279075578,2020-08-04,0.813953488372093
/moskva/kvartiry/2-k_kvartira_43_m_15_et._1976179650,0,19,34.0,2020-07-28,,0,2,43,1,5,8,0,0,12.785580057042635,2020-08-04,0.7906976744186046
/moskva/kvartiry/1-k_kvartira_39_m_212_et._1950383796,,8,40.0,2020-08-01,,0,1,39,2,12,4,0,0,18.55746949466688,2020-08-04,1.0256410256410255
/moskva/kvartiry/2-k_kvartira_58_m_914_et._1972935722,60,3,38.9,2020-07-28,,0,2,58,9,14,8,0,0,23.49489277665689,2020-08-04,0.6706896551724137
/moskva/kvartiry/2-k_kvartira_56.4_m_35_et._1969507187,50,8,50.0,2020-08-04,11:00:24.683127,0,2,56,3,5,4,0,0,2.350441672322792,2020-08-04,0.8928571428571429
/moskva/kvartiry/1-k_kvartira_35_m_79_et._1827246916,,14,27.0,2020-07-28,,0,1,35,7,9,8,0,0,14.293167708857114,2020-08-04,0.7714285714285715
/moskva/kvartiry/2-k_kvartira_50_m_517_et._1933867429,,22,30.0,2020-07-30,,0,2,50,5,17,7,0,0,20.28006401482817,2020-08-04,0.6
/moskva/kvartiry/3-k_kvartira_56_m_24_et._1953920469,,6,60.0,2020-07-30,,0,3,56,2,4,7,0,0,7.490292618174948,2020-08-04,1.0714285714285714
/moskva/kvartiry/3-k_kvartira_58_m_45_et._1954534336,60,9,40.0,2020-07-29,,0,3,58,4,5,9,0,0,13.72134321956592,2020-08-04,0.6896551724137931
/moskva/kvartiry/1-k_kvartira_38_m_713_et._1718227258,,23,30.0,2020-08-01,,0,1,38,7,13,8,0,0,12.844090430537948,2020-08-04,0.7894736842105263
/moskva/kvartiry/1-k_kvartira_38_m_714_et._1958099184,50,13,31.0,2020-07-30,,0,1,38,7,14,6,0,0,12.844090430537948,2020-08-04,0.8157894736842105
/moskva/kvartiry/1-k_kvartira_45_m_714_et._1971903073,50,13,25.0,2020-07-28,,0,1,45,7,14,10,0,0,15.523108364057276,2020-08-04,0.5555555555555556
/moskva/kvartiry/2-k_kvartira_55_m_1016_et._1092980056,,5,39.0,2020-07-28,,0,2,55,10,16,9,0,0,16.81172600601682,2020-08-04,0.7090909090909091
/moskva/kvartiry/3-k_kvartira_64_m_812_et._1872347411,,10,65.0,2020-07-31,,0,3,64,8,12,5,0,0,12.833674364295671,2020-08-04,1.015625
/moskva/kvartiry/1-k_kvartira_38_m_212_et._1959445506,50,11,37.0,2020-07-31,,0,1,38,2,12,5,0,1,3.082867206614293,2020-08-04,0.9736842105263158
