ref,commission_percent,station_distance,rent,pub_date,pub_time,studio,n_rooms,area,floor,n_floors,n_days,mcc,circle,center_distance,parsing_date,y
/moskva/kvartiry/studiya_28_m_78_et._1857710293,,5,35.96,2020-07-29,,1,1,28,7,8,7,0,0,12.844090430537948,2020-08-04,1.2842857142857143
/moskva/kvartiry/4-k_kvartira_173_m_33_et._954597570,0,5,450.0,2020-07-31,,0,4,173,3,3,5,0,0,1.450401635817082,2020-08-04,2.601156069364162
/moskva/kvartiry/1-k_kvartira_45_m_79_et._1113216244,,6,45.0,2020-08-03,,0,1,45,7,9,4,0,0,10.738613232563797,2020-08-04,1.0
/moskva/kvartiry/2-k_kvartira_62_m_1479_et._1935285847,0,5,200.0,2020-08-02,,0,2,62,14,79,3,0,0,4.748225143761476,2020-08-04,3.225806451612903
/moskva/kvartiry/1-k_kvartira_40_m_2125_et._1864895359,50,3,35.0,2020-07-31,,0,1,40,21,25,5,0,0,16.5081390984448,2020-08-04,0.875
/moskva/kvartiry/3-k_kvartira_77_m_512_et._1414033329,0,9,70.0,2020-07-29,,0,3,77,5,12,7,0,0,6.226988803128491,2020-08-04,0.9090909090909091
/moskva/kvartiry/1-k_kvartira_37_m_513_et._1835259790,50,6,45.0,2020-08-01,,0,1,37,5,13,4,0,0,5.84175515670864,2020-08-04,1.2162162162162162
/moskva/kvartiry/2-k_kvartira_63_m_1819_et._1902854995,,4,58.0,2020-07-31,,0,2,63,18,19,5,0,0,9.729694893901524,2020-08-04,0.9206349206349206
/moskva/kvartiry/3-k_kvartira_83.3_m_317_et._1967470357,,5,55.0,2020-07-28,,0,3,83,3,17,8,0,0,22.579784132396757,2020-08-04,0.6626506024096386
/moskva/kvartiry/1-k_kvartira_38_m_1122_et._1963272413,50,12,32.0,2020-07-31,,0,1,38,11,22,5,0,0,13.558779945548173,2020-08-04,0.8421052631578947
/moskva/kvartiry/1-k_kvartira_38_m_2127_et._1864312628,,6,37.0,2020-07-21,,0,1,38,21,27,15,0,0,17.396838684991508,2020-08-04,0.9736842105263158
/moskva/kvartiry/2-k_kvartira_65_m_212_et._1971930153,80,15,30.0,2020-07-28,,0,2,65,2,12,13,0,0,13.279670805067859,2020-08-04,0.46153846153846156
/moskva/kvartiry/1-k_kvartira_35_m_59_et._781615437,,1,45.0,2020-08-04,20:50:01.391968,0,1,35,5,9,3,0,0,5.9255803599455605,2020-08-04,1.2857142857142858
/moskva/kvartiry/2-k_kvartira_53_m_56_et._1206614921,30,4,60.0,2020-08-01,,0,2,53,5,6,4,0,1,3.082867206614293,2020-08-04,1.1320754716981132
/moskva/kvartiry/3-k_kvartira_78_m_612_et._1939422324,,16,40.0,2020-07-21,,0,3,78,6,12,15,0,0,13.58360839238828,2020-08-04,0.5128205128205128
/moskva/kvartiry/1-k_kvartira_33_m_15_et._1891701802,50,3,24.0,2020-07-28,,0,1,33,1,5,8,0,0,37.45778425190925,2020-08-04,0.7272727272727273
/moskva/kvartiry/1-k_kvartira_37_m_19_et._1969376183,50,4,45.0,2020-07-30,,0,1,37,1,9,15,0,0,42.08652548896108,2020-08-04,1.2162162162162162
/moskva/kvartiry/1-k_kvartira_45_m_1622_et._1968450992,15,13,50.0,2020-07-30,,0,1,45,16,22,6,0,0,12.075557576493836,2020-08-04,1.1111111111111112
/moskva/kvartiry/2-k_kvartira_58_m_617_et._1951235955,,9,41.0,2020-08-04,09:50:41.457836,0,2,58,6,17,,0,0,15.847091285342607,2020-08-04,0.7068965517241379
/moskva/kvartiry/3-k_kvartira_87_m_514_et._1876915087,60,7,55.0,2020-07-28,,0,3,87,5,14,8,0,0,16.940818075731936,2020-08-04,0.632183908045977
/moskva/kvartiry/2-k_kvartira_85_m_712_et._1896776477,,19,55.0,2020-07-30,,0,2,85,7,12,7,0,0,10.280529714740107,2020-08-04,0.6470588235294118
/moskva/kvartiry/studiya_18_m_520_et._1857326687,,7,33.66,2020-07-29,,1,1,18,5,20,7,0,0,12.075557576493836,2020-08-04,1.8699999999999999
/moskva/kvartiry/2-k_kvartira_50_m_1416_et._1537509330,,19,55.0,2020-07-31,,0,2,50,14,16,5,0,0,9.880492727191683,2020-08-04,1.1
/moskva/kvartiry/2-k_kvartira_64_m_27_et._1937013132,50,11,62.0,2020-07-30,,0,2,64,2,7,6,0,0,5.451087355930696,2020-08-04,0.96875
/moskva/kvartiry/2-k_kvartira_46_m_55_et._1967536701,50,3,48.0,2020-07-30,,0,2,46,5,5,6,0,0,5.393321360196851,2020-08-04,1.0434782608695652
/moskva/kvartiry/2-k_kvartira_67_m_611_et._1972055896,0,4,100.0,2020-07-30,,0,2,67,6,11,6,0,0,2.3450111132848006,2020-08-04,1.492537313432836
/moskva/kvartiry/1-k_kvartira_32_m_69_et._1400112606,,1,42.0,2020-08-02,,0,1,32,6,9,3,0,0,10.783910412519429,2020-08-04,1.3125
/moskva/kvartiry/1-k_kvartira_41_m_814_et._1945579073,,3,70.0,2020-08-01,,0,1,41,8,14,4,0,0,2.1301480352176,2020-08-04,1.7073170731707317
/moskva/kvartiry/3-k_kvartira_75_m_2433_et._1944681226,50,8,130.0,2020-07-31,,0,3,75,24,33,5,0,0,8.197599186388118,2020-08-04,1.7333333333333334
/moskva/kvartiry/3-k_kvartira_100_m_310_et._1777329879,0,4,140.0,2020-07-29,,0,3,100,3,10,7,0,1,3.4395828872816336,2020-08-04,1.4
/moskva/kvartiry/4-k_kvartira_130_m_49_et._1972452405,0,5,300.0,2020-07-30,,0,4,130,4,9,6,0,0,0.2146959541557752,2020-08-04,2.3076923076923075
/moskva/kvartiry/3-k_kvartira_120_m_817_et._1899804635,0,6,140.0,2020-07-31,,0,3,120,8,17,5,0,0,3.1260312587717536,2020-08-04,1.1666666666666667
/moskva/kvartiry/1-k_kvartira_37_m_912_et._1918343525,,18,30.0,2020-07-28,,0,1,37,9,12,10,0,0,16.18460293813983,2020-08-04,0.8108108108108109
/moskva/kvartiry/1-k_kvartira_40_m_1316_et._1435220834,,16,35.0,2020-07-30,,0,1,40,13,16,15,0,0,13.558779945548173,2020-08-04,0.875
/moskva/kvartiry/1-k_kvartira_33_m_1112_et._1790911444,,10,50.0,2020-07-28,,0,1,33,11,12,8,0,0,3.9895184132689607,2020-08-04,1.5151515151515151
/moskva/kvartiry/3-k_kvartira_184_m_216_et._1972089787,0,3,400.0,2020-07-30,,0,3,184,2,16,7,0,0,2.350441672322792,2020-08-04,2.1739130434782608
/moskva/kvartiry/2-k_kvartira_57_m_317_et._1867503627,50,21,40.0,2020-07-31,,0,2,57,3,17,5,0,0,12.844090430537948,2020-08-04,0.7017543859649122
/moskva/kvartiry/2-k_kvartira_54_m_59_et._1960097422,70,4,36.0,2020-07-21,,0,2,54,5,9,15,0,0,42.08652548896108,2020-08-04,0.6666666666666666
/moskva/kvartiry/1-k_kvartira_38.3_m_1516_et._1395789760,,7,45.0,2020-08-04,13:50:41.457836,0,1,38,15,16,1,0,0,8.197599186388118,2020-08-04,1.1842105263157894
/moskva/kvartiry/2-k_kvartira_60_m_1121_et._1547835614,,6,50.0,2020-07-31,,0,2,60,11,21,5,0,0,19.24263549643987,2020-08-04,0.8333333333333334
/moskva/kvartiry/3-k_kvartira_73_m_34_et._1919156597,50,5,57.0,2020-07-30,,0,3,73,3,4,6,0,0,37.45778425190925,2020-08-04,0.7808219178082192
/moskva/kvartiry/3-k_kvartira_88_m_525_et._1910635685,,8,180.0,2020-08-04,09:50:41.457836,0,3,88,5,25,7,0,0,7.240311699791832,2020-08-04,2.0454545454545454
/moskva/kvartiry/3-k_kvartira_52_m_410_et._1963797363,,6,42.0,2020-07-28,,0,3,52,4,10,14,0,0,16.677312176056162,2020-08-04,0.8076923076923077
/moskva/kvartiry/3-k_kvartira_103_m_66_et._1916650158,,3,100.0,2020-08-01,,0,3,103,6,6,6,0,0,1.6755678969947756,2020-08-04,0.970873786407767
/moskva/kvartiry/2-k_kvartira_84_m_37_et._1974002838,,25,90.0,2020-08-03,,0,2,84,3,7,11,0,0,42.08652548896108,2020-08-04,1.0714285714285714
/moskva/kvartiry/2-k_kvartira_65_m_511_et._841784680,,2,50.0,2020-07-28,,0,2,65,5,11,8,0,0,6.285444479882572,2020-08-04,0.7692307692307693
/moskva/kvartiry/1-k_kvartira_32_m_79_et._1799898934,,5,32.0,2020-07-30,,0,1,32,7,9,6,0,0,8.853363046289289,2020-08-04,1.0
