,lat,lng,line,center_distance,mcc,circle
Коньково,55.631857,37.519156,Калужско-Рижская,15.136161437397822,0,0
Коптево,55.839637,37.520037,МЦК,11.149641237333771,1,0
Косино,55.7026,37.8511,Некрасовская,15.826589990885392,0,0
Котельники,55.6743,37.8582,Таганско-Краснопресненская,17.642858279611982,0,0
Красногвардейская,55.614075,37.742697,Замоскворецкая,17.64433813651033,0,0
Красногорская,55.814571,37.303337,МЦД - 2,20.768940914731072,0,0
Краснопресненская,55.760378,37.577114,Кольцевая,2.5891369923902463,0,1
Красносельская,55.780014,37.666097,Сокольническая,4.057918430854774,0,0
Красные ворота,55.768307,37.6478,Сокольническая,2.3450111132848006,0,0
Красный Балтиец,55.815514,37.526367,МЦД - 2,8.762355867103475,0,0
Красный строитель,55.589455,37.615093,МЦД - 2,18.53407887606115,0,0
Крестьянская застава,55.732278,37.665325,Люблинско-Дмитровская,3.9895184132689607,0,0
Кропоткинская,55.745297,37.604217,Сокольническая,1.4504016358170821,0,0
Крылатское,55.756842,37.408139,Арбатско-Покровская,13.150648526100182,0,0
Крымская,55.690038,37.605,МЦК,7.377513511565585,1,0
Кубанская,55.685129,37.734258,МЦД - 2,10.764427376951812,0,0
Кузнецкий мост,55.761498,37.624423,Таганско-Краснопресненская,0.7549230670965573,0,0
Кузьминки,55.705493,37.763295,Таганско-Краснопресненская,10.738613232563798,0,0
Кунцевская,55.4351,37.2645,МЦД - 1,42.08652548896108,0,0
Курская,55.757622,37.660767,Кольцевая,2.7175127442625007,0,1
Кутузовская,55.740833,37.533333,МЦК,5.551268552276078,1,0
Ленинский проспект,55.70678,37.58499,Калужско-Рижская,5.84175515670864,0,0
Лермонтовский проспект,55.702036,37.851044,Таганско-Краснопресненская,15.847091285342609,0,0
Лесопарковая,55.581656,37.577816,Бутовская,19.562462683919765,0,0
Лефортово,55.764444,37.702777,Некрасовская,5.431555141686899,0,0
Лианозово,55.897316,37.553261,МЦД - 1,16.250968028648288,0,0
Лихоборы,55.847222,37.551389,МЦК,10.980569560542696,1,0
Лобня,56.0048,37.29057,МЦД - 1,34.44906915723977,0,0
Локомотив,55.803219,37.745742,МЦК,9.612267682438688,1,0
Ломоносовский проспект,55.7055,37.5225,Солнцевская,8.197599186388118,0,0
Лубянка,55.759889,37.625336,Сокольническая,0.6572154168736299,0,0
Лужники,55.720278,37.563056,МЦК,5.2421323816079894,1,0
Лухмановская,55.7078,37.9004,Некрасовская,18.55746949466688,0,0
Люблино,55.676596,37.761639,Люблинско-Дмитровская,12.647554108980628,0,0
Марк,55.904458,37.538242,МЦД - 1,17.269468339909256,0,0
Марксистская,55.740746,37.65604,Калининская,2.946904199964329,0,0
Марьина Роща,55.793723,37.61618,Люблинско-Дмитровская,4.209940184044391,0,0
Марьино,55.649158,37.743844,Люблинско-Дмитровская,14.293167708857116,0,0
Маяковская,55.769808,37.596192,Замоскворецкая,2.0482639417343202,0,0
Медведково,55.888103,37.661562,Калужско-Рижская,14.973041251810884,0,0
Международная,55.748324,37.533282,Филевская,5.360876439382452,0,0
Менделеевская,55.781999,37.599141,Серпуховско-Тимирязевская,3.1260312587717536,0,0
Минская,55.7232,37.5038,Солнцевская,8.02208633083129,0,0
Митино,55.846098,37.36122,Арбатско-Покровская,18.955198303810516,0,0
Мичуринский проспект,55.6888,37.485,Солнцевская,11.192041397390945,0,0
Молодежная,55.741375,37.415627,Арбатско-Покровская,12.785580057042637,0,0
Москва Товарная,55.745358,37.688839,МЦД - 2,4.625996842683868,0,0
Москворечье,55.641239,37.689789,МЦД - 2,13.551105521963338,0,0
Мякинино,55.823342,37.385214,Арбатско-Покровская,16.396489830561997,0,0
Нагатинская,55.682099,37.620917,Серпуховско-Тимирязевская,8.221536688056668,0,0
Нагорная,55.672962,37.610397,Серпуховско-Тимирязевская,9.247207577700687,0,0
Нахабино,55.841522,37.185204,МЦД - 2,28.7438012090949,0,0
Нахимовский проспект,55.662379,37.605274,Серпуховско-Тимирязевская,10.443150777690152,0,0
Некрасовка,55.7029,37.9264,Некрасовская,20.280064014828174,0,0
Немчиновка,55.715668,37.374611,МЦД - 1,15.907612953083152,0,0
Нижегородская,55.4357,37.4343,Некрасовская,37.47716297083325,0,0
Новогиреево,55.752237,37.814587,Калининская,12.375972953379941,0,0
Новодачная,55.924459,37.527877,МЦД - 1,19.588692798829484,0,0
Новокосино,55.745113,37.864052,Калининская,15.523108364057274,0,0
Новокузнецкая,55.742391,37.62928,Замоскворецкая,1.6755678969947756,0,0
Новопеределкино,55.6385,37.3544,Солнцевская,21.08980239840081,0,0
Новослободская,55.779606,37.601252,Кольцевая,2.829590502451446,0,1
Новохохловская,55.718523,37.719236,МЦД - 2,7.622563528947164,0,0
Новоясеневская,55.601947,37.553017,Калужско-Рижская,17.617338749546686,0,0
Новые Черемушки,55.670077,37.554493,Калужско-Рижская,10.347515298935559,0,0
Одинцово,55.67798,37.27773,МЦД - 1,23.054796082462058,0,0
Озёрная,55.6698,37.4495,Солнцевская,14.2673040798135,0,0
